GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
swing-app-mpsbr,br.edu.escola,App,95,0,0,0,24,0,4,0,4,0
swing-app-mpsbr,br.edu.escola.swingapp.ui,StudentListPanel,142,0,6,0,34,0,9,0,6,0
swing-app-mpsbr,br.edu.escola.swingapp.ui,StudentListPanel.new DefaultTableModel() {...},10,0,0,0,2,0,2,0,2,0
swing-app-mpsbr,br.edu.escola.swingapp.ui,StudentFormDialog,204,0,8,0,49,0,11,0,7,0
swing-app-mpsbr,br.edu.escola.swingapp.ui,GradeBookDialog,0,236,1,3,0,45,1,5,0,4
swing-app-mpsbr,br.edu.escola.swingapp.ui,MainFrame,549,0,6,0,126,0,26,0,23,0
swing-app-mpsbr,br.edu.escola.swingapp.ui,GradeBookDialog.new DefaultTableCellRenderer() {...},50,6,8,0,13,1,5,1,1,1
swing-app-mpsbr,br.edu.escola.swingapp.ui,GradeBookDialog.new DefaultTableModel() {...},12,8,4,0,4,1,4,1,2,1
swing-app-mpsbr,br.edu.escola.swingapp.ui,GradesFormDialog,351,0,16,0,80,0,18,0,10,0
swing-app-mpsbr,br.edu.escola.swingapp.domain.service,StudentValidator,57,0,14,0,12,0,9,0,2,0
swing-app-mpsbr,br.edu.escola.swingapp.domain.service,CalculusAverageService,83,0,14,0,26,0,10,0,3,0
swing-app-mpsbr,br.edu.escola.swingapp.infra.repository,FileStorage,104,0,10,0,27,0,9,0,4,0
swing-app-mpsbr,br.edu.escola.swingapp.infra.repository,StudentRepositoryFileImpl,358,0,32,0,83,0,33,0,17,0
swing-app-mpsbr,br.edu.escola.swingapp.application,ReportCardUseCase,63,0,2,0,16,0,7,0,6,0
swing-app-mpsbr,br.edu.escola.swingapp.application,StudentUseCase,63,0,4,0,18,0,8,0,6,0
swing-app-mpsbr,br.edu.escola.swingapp.domain.model,Student,0,24,0,0,0,10,0,7,0,7
swing-app-mpsbr,br.edu.escola.swingapp.domain.model,ReportCard,16,15,0,0,8,5,4,5,4,5
